Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Claims on central government (annual growth as % of broad money) [FM.AST.CGOV.ZG.M3],"Commercial bank branches (per 100,000 adults) [FB.CBK.BRCH.P5]",Deposit interest rate (%) [FR.INR.DPST],"Stocks traded, total value (% of GDP) [CM.MKT.TRAD.GD.ZS]","Stocks traded, total value (current US$) [CM.MKT.TRAD.CD]",Wholesale price index (2010 = 100) [FP.WPI.TOTL],"Risk premium on lending (lending rate minus treasury bill rate, %) [FR.INR.RISK]",Real interest rate (%) [FR.INR.RINR],Net domestic credit (current LCU) [FM.AST.DOMS.CN],Net foreign assets (current LCU) [FM.AST.NFRG.CN]
2019,YR2019,Afghanistan,AFG,1.852781994,-0.053917814,1.87,..,..,..,..,..,..,-73369344999,7.90414E+11
2019,YR2019,Australia,AUS,17.42131456,1.888529997,26.43,1.558333333,59.92062334,8.34226E+11,..,..,1.647306092,4.40074E+12,-1.37753E+11
2019,YR2019,Canada,CAN,38.69963717,..,19.73,..,82.1554373,1.43257E+12,..,..,..,..,..
2019,YR2019,China,CHN,23.23111754,2.160568955,8.8,1.5,127.7853252,1.82477E+13,..,..,3.024384821,2.17283E+14,2.63924E+13
2019,YR2019,Germany,DEU,32.68267552,..,10.97,..,34.72868057,1.35033E+12,..,..,..,4.65688E+12,1.83427E+12
2019,YR2019,India,IND,24.18062754,4.674494681,14.6,..,45.33755236,1.28559E+12,135.0913377,..,6.894875427,..,..
2019,YR2019,Indonesia,IDN,49.39429641,1.555657734,15.64,6.688333333,10.53427161,1.17889E+11,..,..,8.62940479,6.75E+15,1.51E+15
2019,YR2019,Malaysia,MYS,58.32959976,0.137479204,10.08,2.983390625,29.74445231,1.0862E+11,..,..,4.801617186,2.17152E+12,2.87268E+11
2019,YR2019,Qatar,QAT,0,2.93523567,9.44,3.626468921,7.564259289,13341180000,..,..,10.03232463,1.06959E+12,-1.56523E+11
2019,YR2019,Poland,POL,30.93985822,2.392263084,28.95,..,8.454603412,50394380000,..,..,..,1.65118E+12,3.29472E+11
2019,YR2019,United Kingdom,GBR,13.15256479,0.839600229,29,..,..,..,..,..,..,3.57663E+12,2.813E+11
2019,YR2019,United States,USA,33.86692641,2.256603542,30.46,..,108.4709536,2.31921E+13,..,3.210833333,3.427089888,2.24147E+13,2.37806E+11
2019,YR2019,United Arab Emirates,ARE,4.467755562,4.262353718,9.53,..,6.998090737,29251300000,..,..,..,1.45965E+12,4.87445E+11
2020,YR2020,Afghanistan,AFG,1.852781994,-1.058431913,..,..,..,..,..,..,..,-79378053337,8.71656E+11
2020,YR2020,Australia,AUS,17.42131456,2.294948616,25.42,..,92.40507812,1.22616E+12,..,..,..,5.24194E+12,-4.61656E+11
2020,YR2020,Canada,CAN,38.69551251,..,20.15,..,61.33226086,1.01051E+12,..,..,..,..,..
2020,YR2020,China,CHN,23.4313229,2.565227932,8.74,1.5,215.0136667,3.15807E+13,..,..,3.838601433,2.44E+14,2.68864E+13
2020,YR2020,Germany,DEU,32.68267552,..,9.38,..,46.63864557,1.81409E+12,..,..,..,5.00084E+12,1.90844E+12
2020,YR2020,India,IND,24.27022827,6.084925782,14.75,..,72.8148112,1.94532E+12,135.8159371,..,4.203910403,..,..
2020,YR2020,Indonesia,IDN,49.07178037,15.68061113,15.22,5.504166667,12.38318685,1.31145E+11,..,..,9.98592672,7.62E+15,1.71E+15
2020,YR2020,Malaysia,MYS,58.17695937,2.871117275,8.97,1.954976736,73.69660746,2.48608E+11,..,..,4.75171162,2.29763E+12,3.12061E+11
2020,YR2020,Qatar,QAT,0,-0.537639615,10.09,2.514697967,16.04746985,23174370000,..,..,22.49420829,1.18006E+12,-2.50779E+11
2020,YR2020,Poland,POL,30.9770359,6.47512396,25.76,..,13.91930511,83438270000,..,..,..,1.82852E+12,4.15713E+11
2020,YR2020,United Kingdom,GBR,13.18563221,9.354232035,..,..,..,..,..,..,..,4.00232E+12,2.17637E+11
2020,YR2020,United States,USA,33.86692641,9.213966042,29.51,..,..,..,..,3.1625,2.21041068,2.58738E+13,2.74334E+11
2020,YR2020,United Arab Emirates,ARE,4.467755562,2.524402653,7.98,..,10.73308907,37509250000,..,..,..,1.50514E+12,5.16713E+11
2021,YR2021,Afghanistan,AFG,1.852781994,..,..,..,..,..,..,..,..,..,..
2021,YR2021,Australia,AUS,17.42131456,4.824892915,24.06,..,..,..,..,..,..,5.21199E+12,-7.19773E+11
2021,YR2021,Canada,CAN,39.47012793,..,20.69,..,..,..,..,..,..,..,..
